Code;FacNom;FacAdr;FacSuiteAdr;FacCp;FacVille;Expr1006;FacInterloc;LivNom;LivCivilite;LivAdr;LivSuiteAdr;LivCp;LivVille;FacTel;LivPortable;LivInterloc
31890;EXEME CONSEIL;70 RUE ABBE DE L'EPEE;;33000;BORDEAUX;05 56 00 82 31;LAETITIA GARRIGOU;EXEME CONSEIL;;70 RUE ABBE DE L'EPEE;;33000;BORDEAUX;05 56 00 82 31;;EXEME CONSEIL
31910;FAGNIEZ LOUIS;AVOCAT A LA COUR;37 RUE DU GENERAL LARMINAT;33000;BORDEAUX;05 57 30 05 05;M.;FAGNIEZ LOUIS;;AVOCAT A LA COUR;37 RUE DU GENERAL LARMINAT;33000;BORDEAUX;05 57 30 05 05;;LOUIS FAGNIEZ
31920;FACE AQUITAINE;4 RUE NICOLAS APPERT;;33140;VILLENAVE-D'ORNON;05 57 35 83 00/02;MARIE/MURIEL COMPTA;FACE AQUITAINE;;4 RUE NICOLAS APPERT;;33140;VILLENAVE-D'ORNON;05 57 35 83 00/02;;FACE AQUITAINE
31930;FINANSO FRANCE;29 RUE ESPRIT DES LOIS;;33000;BORDEAUX;05 56 00 78 50;M.;SARL FINANSO FRANCE;;29 RUE ESPRIT DES LOIS 4 ETAGE;;33000;BORDEAUX;05 56 00 78 50;;SARL FINANSO FRANCE
31960;FORMAPOSTE MIDI ATLANTIQUE;LA CITE NUMERIQUE  -  B9;2 RUE MARC SANGNIER;33130;BEGLES;05 57 57 01 40;STEPHANIE BEGE;FORMAPOSTE MIDI ATLANTIQUE;;LA CITE NUMERIQUE  -  B9;2 RUE MARC SANGNIER;33130;BEGLES;05 57 57 01 40;;STEPHANIE BEGE
31970;MAISON FOURTEAU;ZONE D'ACTIVITE ACHARD;190 RUE ACHARD;33300;BORDEAUX;05 56 39 81 58;M.;MAISON FOURTEAU;;ZONE D'ACTIVITE ACHARD;190 RUE ACHARD;33300;BORDEAUX;05 56 39 81 58;;MAISON FOURTEAU
31990;FROMAGET JEAN PIERRE;123 AVENUE RENE CASSAGNE  B P;;33151;CENON CEDEX;05 57 77 00 11;M.;JEAN PIERRE FROMAGET;;123 AVENUE RENE CASSAGNE  B P;;33151;CENON CEDEX;05 57 77 00 11;;DELPHINE
32000;FUSIO;43 RUE GERARD BLOT;;33400;TALENCE;05 57 81 53 53;M.;FUSIO;;43 RUE GERARD BLOT;;33400;TALENCE;05 57 81 53 53;;FUSIO
32010;SELARL GALY & ASSOCIES;9 RUE DE CONDE;DIGICODE 1001 - 1 ETAGE;33000;BORDEAUX;05 56 79 95 70;M.;SELARL GALY & ASSOCIES;;9 RUE DE CONDE;DIGICODE 1001 - 1 ETAGE;33000;BORDEAUX;05 56 79 95 70;;LAURE GALY
32040;SOCIETE DES GRANDS GARAGES;PARKINGS DE BX VICTOR HUGO;PLACE DE LA FERME DE RICHEMONT;33000;BORDEAUX;05 56 52 00 30;M.;SOCIETE DES GRANDS GARAGES;;PARKINGS DE BX VICTOR HUGO;PLACE DE LA FERME DE RICHEMONT;33000;BORDEAUX;05 56 52 00 30;;POTHERAT-K-HLER
